mid_month_date,victims,incidents
2009-04-15,1,1
2009-05-15,2,2
2009-09-15,1,1
2009-11-15,1,1
2010-08-15,1,1
2012-11-15,1,1
2012-12-15,1,1
2013-02-15,23,4
2013-03-15,9,3
2013-04-15,3,1
2013-05-15,3,2
2013-06-15,3,1
2013-07-15,2,2
2013-10-15,4,3
2013-12-15,8,4
2014-01-15,11,10
2014-03-15,2,2
2014-04-15,2,1
2014-05-15,2,2
2014-06-15,1,1
2015-02-15,2,2
2015-06-15,2,1
2015-12-15,2,2
2016-01-15,2,1
2016-02-15,1,1
2017-06-15,1,1
2018-03-15,1,1
2018-07-15,2,1
2018-10-15,1,1
2019-01-15,5,3
2019-02-15,3,3
2019-03-15,7,4
2019-04-15,3,2
2019-05-15,9,6
2019-06-15,4,4
2019-07-15,7,5
2019-08-15,2,1
2019-09-15,4,2
2019-10-15,7,5
2019-11-15,3,2
2019-12-15,7,3
2020-01-15,3,3
2020-02-15,1,1
2020-03-15,7,2
2020-04-15,2,2
2020-05-15,2,2
2020-06-15,3,2
2020-07-15,9,5
2020-09-15,1,1
2020-10-15,1,1
2020-11-15,1,1
2021-01-15,1,1
2021-03-15,17,1
2021-04-15,1,1
2021-06-15,1,1
2021-07-15,1,1
2021-08-15,2,1
2021-09-15,6,5
2021-11-15,4,2
2021-12-15,1,1
2022-05-15,4,1
