mid_month_date,victims,incidents
2009-01-15,8,8
2009-02-15,5,4
2009-03-15,8,6
2009-04-15,7,6
2009-05-15,17,15
2009-06-15,10,10
2009-07-15,8,7
2009-08-15,21,19
2009-09-15,27,27
2009-10-15,14,13
2009-11-15,10,9
2009-12-15,6,5
2010-01-15,4,4
2010-02-15,11,8
2010-03-15,12,11
2010-04-15,9,7
2010-05-15,14,13
2010-06-15,6,6
2010-07-15,4,4
2010-08-15,9,8
2010-09-15,13,12
2010-10-15,12,9
2010-11-15,20,19
2010-12-15,12,10
2011-01-15,10,8
2011-02-15,7,6
2011-03-15,7,7
2011-04-15,6,6
2011-05-15,9,8
2011-06-15,5,2
2011-08-15,6,6
2011-09-15,8,5
2011-10-15,4,3
2011-11-15,6,5
2011-12-15,14,6
2012-01-15,2,2
2012-02-15,18,11
2012-03-15,14,9
2012-04-15,4,4
2012-05-15,4,2
2012-06-15,2,2
2012-07-15,1,1
2012-08-15,4,3
2012-09-15,1,1
2012-10-15,4,4
2012-11-15,2,1
2012-12-15,5,5
2013-01-15,7,7
2013-02-15,68,29
2013-03-15,43,17
2013-04-15,11,9
2013-05-15,18,13
2013-06-15,15,10
2013-07-15,8,5
2013-08-15,11,5
2013-09-15,6,5
2013-10-15,18,10
2013-11-15,10,9
2013-12-15,44,21
2014-01-15,25,21
2014-02-15,13,12
2014-03-15,12,9
2014-04-15,13,11
2014-05-15,39,23
2014-06-15,9,8
2014-07-15,14,13
2014-08-15,6,5
2014-09-15,11,10
2014-10-15,6,5
2014-11-15,4,3
2014-12-15,10,9
2015-01-15,17,16
2015-02-15,28,24
2015-03-15,10,9
2015-04-15,9,7
2015-05-15,17,16
2015-06-15,14,14
2015-07-15,12,10
2015-08-15,15,13
2015-09-15,20,11
2015-10-15,13,11
2015-11-15,9,8
2015-12-15,17,13
2016-01-15,9,8
2016-02-15,13,13
2016-03-15,7,6
2016-04-15,12,7
2016-05-15,7,6
2016-06-15,19,16
2016-07-15,24,20
2016-08-15,17,15
2016-09-15,9,9
2016-10-15,23,15
2016-11-15,24,16
2016-12-15,12,12
2017-01-15,11,10
2017-02-15,16,15
2017-03-15,13,10
2017-04-15,11,9
2017-05-15,11,10
2017-06-15,8,7
2017-07-15,24,19
2017-08-15,6,6
2017-09-15,7,7
2017-10-15,13,13
2017-11-15,16,14
2017-12-15,16,14
2018-01-15,21,18
2018-02-15,11,10
2018-03-15,13,12
2018-04-15,26,23
2018-05-15,152,122
2018-06-15,38,33
2018-07-15,62,52
2018-08-15,27,24
2018-09-15,35,32
2018-10-15,23,21
2018-11-15,36,31
2018-12-15,17,14
2019-01-15,23,19
2019-02-15,31,25
2019-03-15,34,25
2019-04-15,18,17
2019-05-15,33,25
2019-06-15,32,18
2019-07-15,25,22
2019-08-15,20,17
2019-09-15,38,30
2019-10-15,32,23
2019-11-15,21,20
2019-12-15,22,20
2020-01-15,20,12
2020-02-15,20,17
2020-03-15,17,17
2020-04-15,13,11
2020-05-15,30,25
2020-06-15,29,22
2020-07-15,41,31
2020-08-15,5,4
2020-09-15,3,3
2020-10-15,2,2
2020-11-15,2,2
2020-12-15,6,5
2021-01-15,2,2
2021-02-15,6,4
2021-03-15,21,3
2021-04-15,9,3
2021-05-15,9,7
2021-06-15,3,2
2021-07-15,5,4
2021-08-15,6,5
2021-09-15,2,2
2021-10-15,3,3
2021-11-15,18,10
2021-12-15,6,6
2022-01-15,1,1
2022-03-15,2,2
2022-04-15,5,5
2022-07-15,1,1
2022-09-15,1,1
